,Rho,N,P,p.adj
CEP290,-0.0278578552314064,118,0.713248352934293,0.86786862524872
DNAH5,0.144834741707174,119,0.0550026411868448,0.362108494836944
DNAH6,-0.170861512085959,118,0.0241973378291155,0.323872060174315
DNAH7,-0.056779797159155,114,0.461726181358524,0.725705435815521
DNAH9,0.117845934370723,115,0.124936493845301,0.459814538502744
Em:AC008101.5,-0.0973328526784575,81,0.289278077993058,0.647969633585667
PKHD1,-0.200751952113109,119,0.00782150940820397,0.194420376718213
TTN,0.17783506260248,119,0.0184697893212624,0.292158485627242
A1BG,-0.140143532958475,80,0.129488002222037,0.459814538502744
AADACL3,-0.0580554483465933,102,0.477022173959545,0.735102260424448
AAR2,-0.0922671442309247,92,0.283641251393104,0.647969633585667
AB209621,-0.151479802684468,63,0.14723686690176,0.512257350871682
ABHD5,-0.00693312749953679,89,0.936864156308234,0.977173963410349
ABCA3,-0.0763590375588636,114,0.322270377185603,0.658991149474962
ABLIM2,-0.0451720854202184,94,0.595617978646398,0.81246462452819
ABCB4,0.165818963688925,107,0.0374160627682553,0.353454988085328
ACAA1,0.00437325218725803,93,0.95924576918543,0.981816257872146
ACADS,0.102039498624774,94,0.230594117527136,0.595866667603146
ABCC1,-0.119950233116721,110,0.126799666470344,0.459814538502744
ACBD5,-0.0130558241966773,100,0.874212963940971,0.946230183367863
ABCD1,0.00555277985937652,105,0.944968700534223,0.977173963410349
ABCG4,-0.071213800543582,80,0.441052608428296,0.725705435815521
ABHD15,-0.102099862217757,93,0.232867433316172,0.595866667603146
ADAT3,0.00680417597548036,92,0.936979470312835,0.977173963410349
ACER3,-0.0824206359083753,79,0.37565740839166,0.673859681032462
ACOT13,-0.052054164511299,81,0.570892772732111,0.788375733772915
ACOXL,0.120984286850486,110,0.123558642274442,0.459814538502744
ADCY2,0.0968759545058584,91,0.262942758090822,0.626405701181714
ACSM1,0.0526602143425957,94,0.536121768633879,0.764632686412254
ACRV1,0.0867719438812954,98,0.297702523543222,0.655699229069882
ADD1,0.0181568259800641,105,0.821429750367631,0.916210106179281
ADH7,0.191631862955997,79,0.0394157817922081,0.353454988085328
ACTA2,NA,NA,NA,NA
ACTL7B,0.0670310266646105,100,0.416338406126006,0.703328957921603
ACTR2,NA,NA,NA,NA
ACVR1B,0.0240249990052149,81,0.793652208160629,0.903461917817146
ADM5,-0.128940357388782,64,0.21358632775907,0.57175416969351
ADPRHL1,-0.0352738623514071,95,0.676922239021379,0.853510649200869
ADAD1,0.145296631451356,96,0.0844390036510283,0.387882291780606
ADAM1A,-0.144645332521652,108,0.0681420802843958,0.370522561546402
ADRB1,0.0803815929865242,67,0.427262856745706,0.714843625709162
AEBP1,-0.0466433508187627,105,0.562035498643091,0.782353414111183
ADAM30,-0.0926057200768761,98,0.266402424640499,0.626405701181714
ADAMTS3,-0.156247075612598,109,0.0477439483915583,0.362108494836944
ADAMTS13,-0.0573351285562547,112,0.461400729177694,0.725705435815521
ADAMTSL4,-0.147848020689165,113,0.0564033791861945,0.362108494836944
AFF1,-0.135574895459511,118,0.0736977540686988,0.387882291780606
AGAP1,-0.0803714973835374,86,0.366902166333559,0.665010176479575
AKAP11,-0.0575729008115732,118,0.447557260841341,0.725705435815521
AKAP7,-0.166794898671264,104,0.0390811353556777,0.353454988085328
AGO3,NA,NA,NA,NA
AGER,-0.0993311095744236,108,0.210341835451336,0.57175416969351
AKR1B10,NA,NA,NA,NA
AGPHD1,-0.0503289047470348,103,0.535564638118333,0.764632686412254
AGTRAP,0.0291550145817202,93,0.733354114477524,0.880024937373028
AKR7L,0.157655631765145,84,0.0803365983708164,0.387882291780606
AL833346,-0.20586318524829,71,0.0361914782222554,0.353454988085328
AHI1,-0.0338679144588835,117,0.656427113825642,0.839840572100454
AIDA,NA,NA,NA,NA
ALDH3B1,-0.11342617456312,99,0.171210084789274,0.533096990710037
ALDH1A2,-0.0424052095644132,56,0.70263133655325,0.860970792677926
AIMP2,-0.105173426270896,109,0.182682623570877,0.544893020205775
AK055272,0.0884816881765642,76,0.351142233549413,0.665010176479575
AK092965,0.0025047792951471,70,0.979813863339027,0.989875289695023
AK096995,-0.113540979211927,67,0.262125737437054,0.626405701181714
ALDOC,0.0901720546252954,70,0.362357698900332,0.665010176479575
ALG3,0.153060319896989,97,0.0676503519667977,0.370522561546402
AK124121,-0.0845154254728517,36,0.545816749670526,0.765904148731222
AK125726,-0.054095642812302,104,0.503375163703577,0.748609217815576
ALKBH6,-0.109936908907915,99,0.184762575816901,0.544893020205775
AK128777,NA,NA,NA,NA
ALOX15P1,NA,NA,NA,NA
AK299452,0.0832926730072566,41,0.523828344524857,0.764632686412254
AK310493,-0.0901720546252954,70,0.362357698900332,0.665010176479575
ANKRD54,-0.101331606513569,77,0.282389189798682,0.647969633585667
ALPPL2,-0.00540487902450968,95,0.949094251818098,0.977173963410349
ALYREF,NA,NA,NA,NA
ANKS1A,-0.136799604976327,112,0.0788557672745794,0.387882291780606
AMER1,-0.0714174408332295,112,0.35890822426166,0.665010176479575
AMMECR1L,0.16404358872971,43,0.198033474706128,0.564882370473218
ANO2,0.260494610976904,106,0.00113844759935426,0.154910129134091
ANP32B,0.0645586895442082,61,0.54352030137004,0.765904148731222
AOC2,-0.0596275764473177,103,0.462950019399557,0.725705435815521
ANXA2R,-0.0847130202385821,47,0.486234321388297,0.74214712211898
AMPH,-0.037225934415534,110,0.635608078972858,0.839840572100454
ANAPC13,NA,NA,NA,NA
AP1S1,NA,NA,NA,NA
AP3D1,0.0822758145849302,103,0.311159983197923,0.658991149474962
ANG,-0.0450467481606189,90,0.604728757416998,0.813405207336881
ANGPTL7,0.111465405030446,95,0.187950381535695,0.545056106453515
AP5M1,0.0314718316987777,105,0.695631305540594,0.860970792677926
APBB3,0.0145874205917616,99,0.860312374731032,0.946230183367863
ANKFY1,0.0267912520711909,113,0.729547203085483,0.880024937373028
ANKRD10,-0.108517882608805,91,0.209844690606709,0.57175416969351
APH1B,-0.0393592696853223,93,0.645587458563073,0.839840572100454
APOA1BP,-0.182460924337148,89,0.0371022008594701,0.353454988085328
APOBEC3F,0.0286396997047764,57,0.794698301170406,0.903461917817146
APOH,0.0700489710189993,106,0.381579354124519,0.677498036914962
ANKRD18B,-0.148124705130651,80,0.10905232764853,0.441281511880098
ANKRD26,-0.135480324796069,110,0.0846127758880501,0.387882291780606
APOO,-0.00623798031921873,89,0.943183138031105,0.977173963410349
AK124326,-0.30642134525076,68,0.00229204848826861,0.154910129134091
AQP12B,NA,NA,NA,NA
AQR,0.00894773236899997,106,0.911008007908815,0.972487075927201
ANKRD33,-0.154367280090667,105,0.0549931175068877,0.362108494836944
ANKRD39,0.0250532089414847,84,0.781094198369521,0.903461917817146
ARF3,NA,NA,NA,NA
ARFIP2,0.0276864453796539,74,0.773515715639419,0.903461917817146
ARID2,0.0809941227407179,106,0.311678085320601,0.658991149474962
ARMC10,-0.0403280956168285,110,0.60771653421721,0.813405207336881
ARMC9,0.110138876563056,111,0.159003948736487,0.512346057039792
ARHGAP15,0.0136313698439712,90,0.875534824840379,0.946230183367863
ARHGAP25,0.0152882732479151,107,0.847833677629153,0.939637324251418
ARIH2,-0.0418337760334332,58,0.701327632927372,0.860970792677926
ARL17A,NA,NA,NA,NA
ARL5B,NA,NA,NA,NA
ARHGAP36,-0.2145577698556,97,0.0104214230950619,0.20148084650453
ARHGDIB,-0.0255067282869956,68,0.799615720366899,0.903461917817146
ARHGEF19,-0.154217450114996,108,0.0518019013324416,0.362108494836944
ARHGEF39,-0.141458199107867,101,0.0847099257911667,0.387882291780606
ARNTL2,-0.0593304986269091,87,0.502841719489663,0.748609217815576
ARPP19,NA,NA,NA,NA
ARSA,-0.213594744307174,99,0.0099743397670961,0.20148084650453
ART1,-0.112711856980367,110,0.151370496130177,0.512257350871682
ASAH2B,0.101477317234003,89,0.246297097428382,0.612224213607691
ASB15,0.213613674278545,107,0.00733878799798481,0.194420376718213
ASB7,NA,NA,NA,NA
ASCL5,-0.0674592116660895,70,0.495589487702542,0.748609217815576
ATP6V1A,0.101574900036674,65,0.323320009133915,0.658991149474962
ATP6V1G2,0.0791526829492745,44,0.529619299003452,0.764632686412254
ASIC3,0.072283415033649,107,0.364285366819598,0.665010176479575
ASPA,0.0388125656348016,93,0.650179608548613,0.839840572100454
ATP8B4,-0.0362116601407924,112,0.641799254288682,0.839840572100454
ARL1,NA,NA,NA,NA
ASRGL1,-0.161675608758327,87,0.0678775759096848,0.370522561546402
ASZ1,0.0619546918189723,100,0.452510274520644,0.725705435815521
ATR,-0.000978962019985431,114,0.989875289695023,0.989875289695023
ATXN7L3B,NA,NA,NA,NA
ATE1,-0.007340466639518,109,0.925900986490786,0.977173963410349
ATF7,-0.0224461751637188,80,0.808136372249522,0.907198250138173
AVP,-0.210554573085371,65,0.0406270101247504,0.353454988085328
AUTS2,0.0819965999448153,97,0.327616481701769,0.658991149474962
AB231702,-0.255178915801771,43,0.0452555461859621,0.362108494836944
AX746631,NA,NA,NA,NA
AX746903,-0.0735785044970953,87,0.406013539427072,0.692611331963828
ATG4A,-0.0753731021677562,87,0.394660526442728,0.684477607962158
ATL1,0.0697266438444076,78,0.456513072647862,0.725705435815521
AX747325,NA,NA,NA,NA
AX747659,0.0613879007354841,37,0.656224431623861,0.839840572100454
ATP10A,-0.149925056203166,105,0.0623625000705255,0.370522561546402
ATP13A4,0.0743212567292166,117,0.328964480370584,0.658991149474962
AXL,-0.131083084795931,100,0.111956916332819,0.442738714588877
AX748201,NA,NA,NA,NA
ATP2A1,0.231225747992419,101,0.00483224086889614,0.168161982237586
ATP4B,0.0979801340469172,92,0.254885765745205,0.624649623093882
ATP5H,-0.0138662549990736,89,0.874123013072584,0.946230183367863
ATP6AP2,-0.0776381488522249,84,0.389143180359859,0.683948620026418
B3GALT1,NA,NA,NA,NA
B3GNT2,-0.0826149875467002,96,0.326540369876515,0.658991149474962
B4GALNT2,0.0207957882712654,106,0.79504686138875,0.903461917817146
B9D1,0.0109164655586328,89,0.9007437088782,0.9674654650914
BAD,0.0351829876098231,91,0.684329988057383,0.856643294402767
BAI2,0.00228767748850158,103,0.977534032802858,0.989875289695023
ALOX15,0.110915520461103,88,0.207697239202114,0.57175416969351
BANF2,-0.0332906802981616,69,0.738523552619094,0.880158206546043
BATF2,-0.111319383568014,100,0.17707624685317,0.540548543025467
BICC1,-0.205428714978698,100,0.0127404763650542,0.221684288751943
BBOX1,-0.124637744702749,102,0.126849912283769,0.459814538502744
BC010030,-0.168634303857573,37,0.221409034709388,0.583714727870206
BIRC5,-0.124813466452136,61,0.240196163659536,0.605712064880569
BC040865,NA,NA,NA,NA
BC032910,0.00168887357650454,54,0.988095252530427,0.989875289695023
AX746654,-0.151574020017626,80,0.10105025592541,0.422155864610481
BLNK,-0.0743126051848109,104,0.357948098934739,0.665010176479575
BMP10,-0.236774620059914,103,0.00356115239388716,0.154910129134091
BC063788,-0.0811207998406763,88,0.356802204687995,0.665010176479575
BC093087,-0.142537599250858,68,0.156032411472409,0.512257350871682
BC118554,-0.171191401574853,66,0.0934022710672103,0.406299879142365
BC171856,-0.123589810748916,91,0.153246313585827,0.512257350871682
BMP8A,0.166905327995023,66,0.101899691457702,0.422155864610481
BNIP1,0.103141531198527,72,0.290469146090127,0.647969633585667
BCAS2,NA,NA,NA,NA
BCKDK,0.087105392252726,79,0.349128180146238,0.665010176479575
BOLA1,-0.0381934947301372,83,0.67371313038803,0.853510649200869
BPIFA3,-0.162063273361518,93,0.0582703325024968,0.362108494836944
ADM,-0.194987996384686,94,0.0219719529581733,0.318593317893513
ANXA3,0.0456700928384761,91,0.597675126089703,0.81246462452819
BRAF,0.0787463917204394,79,0.39731171496654,0.684477607962158
BCL2L15,-0.0800122477100052,101,0.329495574737481,0.658991149474962
BCL9L,0.0511107333027597,103,0.529245577786249,0.764632686412254
BRD7,-0.13712635764155,103,0.0914140968285027,0.406299879142365
AMACR,-0.109451517217186,106,0.171571445285989,0.533096990710037
BDH1,0.242316021427172,102,0.00299704192337717,0.154910129134091
BHLHA15,-0.0246169740263152,84,0.784811232328113,0.903461917817146
BEND3,-0.158944928541564,99,0.0551814081811977,0.362108494836944
BET1,NA,NA,NA,NA
BRIP1,-0.162732049617604,113,0.035730867304128,0.353454988085328
BSPH1,NA,NA,NA,NA
BRSK2,0.0632877306133987,86,0.477393996712429,0.735102260424448
BTBD18,0.0218903034434373,106,0.784519334990365,0.903461917817146
